Distributor Name,Medicine Name,State,District,City,Address,Contact Number,Verified,Additional Notes,Created Time,Updated Time
GURU NANAK MEDICOS (P) LTD.,Tocilizumab,Chandigarh,,,"S.C.O.,290SECTOR 35 - DCHANDIGARH,CHANDIGARH,160022",,,,,
GYANDEEP ENTERPRISES,Tocilizumab,Haryana,,,"PHARMACEUTICALS DISTRIBUTORS562,GOPI COLONY,OLD FARIDABAD,FARIDABAD,121002",,,,,
GOPIRAM SHAMSUNDER(VRN),Tocilizumab,Uttar Pradesh,,,"30,NEHRU MARKETVARANASI,VARANASI,221001",,,,,
GITIKA PHARMACEUTICALS,Tocilizumab,Chhattisgarh,,,"SHOP NO. 12-A,GROUND & BASEMENT FLROLD MEDICAL COMPLEXRAJBANDHA MAIDAN, WARD NO.
36,Raipur,492001",,,,,
G P SALES RANCHI,Tocilizumab,Jharkhand,,,"39 SHRADHNAND ROADRANCHIRANCHIJHARKHAND,RANCHI,834001",,,,,
GREEN AGENCIES,Tocilizumab,Bihar,,,"NEAR STATE BANK ATMLINE BAZARN.H. 31PURNEA ( BIHAR ),PURNEA,854301",,,,,
SHRI GANESH ASSOCIATES(REG),Tocilizumab,Tamil Nadu,,,"FIRST FLOOR,NEW NO 20 , OLD NO 36MAHARAJA SURYA ROADTEYNAMPET,CHENNAI,600018",,,,,
GANESH PHARMA,Tocilizumab,Karnataka,,,"D NO 30(3) WARD NO 16,ANANTHPUR ROAD,BELLARY.,BELLARY,583101",,,,,
SHRI GANESH AGENCIES,Tocilizumab,Karnataka,,,"SHOP NO.8-6-90/1(25)BASAVESHWAR COLONYBEHIND T.V RELAY STATIONBIDAR,BIDAR,585401",,,,,
GURUKRUPA AGENCIES,Tocilizumab,Karnataka,,,"POST BOX NO. 74,AZIZ MANSION,KOPPIKAR ROADHUBLI,HUBLI,580020",,,,,
GANGA DISTRIBUTOR,Tocilizumab,Karnataka,,,"NO-8-867/1&2 BASEMENTAIYARWADI, ASIF GUNJMAHADEV NAGARGROUND flr & MEZZANINE
flr,GULBARGA,585101",,,,,
HANJI MEDICALS,Tocilizumab,Maharashtra,,,"879, NILASHRAY,SUBHASH ROAD,GADHINGLAJGADHINGLAJ,GADHINGLAJ,416502",,,,,
H V SHAH,Tocilizumab,Maharashtra,,,"JUNA BAZARAHMEDNAGAR 414 001(VM ),AHMEDNAGAR,414001",,,,,
VAMAN PHARMA Pvt... LTD HUBLI,Tocilizumab,Karnataka,,,"PLOT NO.SPL-9,1ST FLOORM.T SAGAR , INDUSTRAIL AREAGOKUL Rd..,HUBLI,580030",,,,,
JAY AGENCIES,Tocilizumab,Maharashtra,,,"OM GROUP CO-OP. HSG.SOCIETY,OPP.GOVT.MILK SCHEMEMURTIZAPUR RDAKOLA,AKOLA,444001",,,,,
JAIN MEDICAL AGENCIES(MND),Tocilizumab,Madhya Pradesh,,,"6-7, GANEDIWAL DHARMSHALAGANDHI CHAURAHAMANDSAURMANDSAUR (M.P.),MANDSAUR,458001",,,,,
JAIN MEDICAL STORES RAIPUR,Tocilizumab,Chhattisgarh,,,"28,29 NEW MEDICAL COMPLEXRAJBANDHA MAIDANRAIPUR,RAIPUR,492001",,,,,
JAIN AGENCIES RAJNANDGAON,Tocilizumab,Chhattisgarh,,,"KILLA PARADIGVIJAY COLLEGE RDRAJNANDGAON,,RAJNANDGAON,491441",,,,,
JANATA MEDICAL STORES,Tocilizumab,Maharashtra,,,"PHARMACUITICAL DISTRIBUTORS""""""SWAPNAPURI"""" SANGRAM NAGAR""MALSHIRAJ ROAD AKLUJDIST
SOLAPUR,AKLUJ,413101",,,,,
J.JASWANTLAL & BROTHERS,Tocilizumab,Maharashtra,,,"SHOP NO. 13,14,25,26,113,114,213SANDESH DAWA BAZAR, NEAR HAJ HOUSEGANJIPETH,
NAGPUR,NAGPUR,440002",,,,,
JAWAHAR AGENCIES,Tocilizumab,Maharashtra,,,"MAIN ROAD,NEAR POLICE STATIONKOPERGAON 423 601DISTRICT AHMEDNAGAR(VM),AHMEDNAGAR,423601",,,,,
JAIN DISTRIBUTORS (PARLI),Tocilizumab,Maharashtra,,,"MONDHA PARALI VAIJANATHDIS BEEDPARALI VAIJANATHX,PARALI VAJINATH,431515",,,,,
JAIN DISTRIBUTORS (WAI)(CHQ),Tocilizumab,Maharashtra,,,"2410/A/5A/2 FLAT NO 41ST FLOORSONGIRWADI, WAIDIST SATARA,WAI,412803",,,,,
JAYANT AGENCIES,Tocilizumab,Maharashtra,,,"AHINSA MARG DEULGAON RAJADIST BULDHANA,DEULGAON RAJA,443204",,,,,
JAIN DISTRIBUTORS (JALGAON),Tocilizumab,Maharashtra,,,"6/86 OLD BHIKAMCHAND JAIN MARKETJALGAON - 425001JALGAON,JALGAON,425001",,,,,
JAY DISTRIBUTORS,Tocilizumab,Gujarat,,,"JAIN STREETVAPI,VAPI,393191",,,,,
JAYANT MEDICAL STORES,Tocilizumab,Gujarat,,,"ALANKAR CINEMA ROADSURENDRANAGAR,SURENDRANAGAR,363002",,,,,
JOSHI BROTHERS,Tocilizumab,Gujarat,,,"PROPERTY NO. 12/1702ND FLOOR,HEALTH POINT COMPLEXBEHIND MEHTA PETROL
PUMPGIRDHARNAGAR,HIMATNAGAR,383001",,,,,
JINDAL MEDICOS,Tocilizumab,Punjab,,,"NEAR DUNI CHUNI STREETMOHALLA MATA RANIKHANNA,KHANNA,141401",,,,,
JAIN MEDICAL STORE,Tocilizumab,Jammu & Kashmir,,,"148, RAGHUNATHPURAJAMMU(J & K),JAMMU,180001",,,,,
JAIN MEDICAL & SURGICALS,Tocilizumab,Chhattisgarh,,,"COMMERCIAL BUILDING SHOP NO -70NANDANI ROAD,BHILAIDISTT DURG,BHILAI,490011",,,,,
JAGDAMBA DRUG AGENCY,Tocilizumab,Bihar,,,"LAL BAZARBETTIAHBETTIAHDIST WEST CHAMPARAN (BIHAR),BETTIAH,845438",,,,,
BANKURA JYOTIRMOYEE PHARMA PVT. LTD,Tocilizumab,West Bengal,,,"SCHOOL DANGAPO & DIST. BANKURAPIN 722 101,BANKURA,722201",,,,,
JAYASHREE KALYANI AGENCIES PVT. LTD,Tocilizumab,Tamil Nadu,,,"DOOR NO 83-86, R.S.LAKSHMIPURAM,KRISHNAGIRI,KRISHNAGIRI,635001",,,,,
JALARAM DISTRIBUTORS,Tocilizumab,Maharashtra,,,"SHOP NO. 16 TO 18, SONAL APARTMENTSL.B.S MARG, GHATKOPAR (W)MUMBAI,MUMBAI,400086",,,,,
KAMAL DISTRIBUTORS Pvt LTD,Tocilizumab,Maharashtra,,,"Office 1 & 2,on 1st & 2nd floor, PlPanvel Industrial Co Operative Estate,PANVEL,410206",,,,,
KRISHNA MEDICAL AGENCIES,Tocilizumab,Gujarat,,,"A/2,CHANDRAVILA APPARTMENTSNR. DR. BHAKKAS CLINIC,VANKI BORDI,SAIYEDPURA,SURAT,SURAT,395003",,,,,
KANTILAL & COMPANY(BTL),Tocilizumab,Madhya Pradesh,,,"30-32, GOKUL TRADE CENTERBETUL GANJBETULBETUL (M.P.),BETUL,460001",,,,,
KAVITA MEDICAL STORES(DWS),Tocilizumab,Madhya Pradesh,,,"249 M.G. RoadDEWASDEWASDEWAS (M.P.),DEWAS,455001",,,,,
KAMAL AGENCIES BHOPAL,Tocilizumab,Madhya Pradesh,,,"6/A, REHMAT MARKETNEAR GHORA NIKKASBUS STAND, BHOPALBHOPAL (M.P.),BHOPAL,462001",,,,,
KATHED BROTHERS HATPIPLIYA,Tocilizumab,Madhya Pradesh,,,"MAHAVIR MARG, HATPIPLIA,DEWASDEWASDEWAS (M.P.),HATPIPLIYA,455223",,,,,
KAMAL AGENCIES (CHQ),Tocilizumab,Maharashtra,,,"6-N-STADIUM COMPLEXPARBHANIPARBHANIX,PARBHANI,431401",,,,,
KUMARPAL PADAMSI (CHQ),Tocilizumab,Maharashtra,,,"PARRY WAREHOUSE,NEAR M S E B SUB STATIONOGLEWADI, 415 105(WA),KARAD,415105",,,,,
KOTALWAR AGENCIES,Tocilizumab,Maharashtra,,,"ARYA SAMAJ SHOPPING COMPLEXSHOP NO 1,2 NEAR GANDHI MARKETLATUR 413 512,LATUR,413512",,,,,
KUNDAN AGENCY,Tocilizumab,Maharashtra,,,"SITARAM COMPLEXPUNE MUMBAI ROADCHINCHWAD STATION PUNE 19(SSS),CHINCHWAD,411019",,,,,
KALPANA MEDICALS (CHQ),Tocilizumab,Maharashtra,,,"S N 343, GARDIVITA, 415 311DIST SANGLI(SM),VITA,415311",,,,,
KIRTI AGENCIES (AUB) (CHQ),Tocilizumab,Maharashtra,,,"SAMDANI CHEMBERS 1ST FLOOROPP. AUSHADHI BHAVANNEW GULMANDI
ROADAURANGABAD,AURNGABAD,431001",,,,,
KARWA PHARMACEUTICALS (CHQ),Tocilizumab,Maharashtra,,,"NEAR UDYOG TOWER,SIGNAL CAMPLATURLATUR,LATUR,413512",,,,,
KOTHARI AGENCIES,Tocilizumab,Maharashtra,,,"PROP NO 928, SURVEY NO 109 ATEJAS PALACE, BHIGWAN ROAD,A/P JALOCHI, TAL BARAMATIDIST PUNE
(SSS),BARAMATI,413102",,,,,
KARWA AGENCIES ( JALNA ),Tocilizumab,Maharashtra,,,"1-34-4 / 1, SHRIRAM MANDIR ,DR . R. P RDJALNA,JALNA,431203",,,,,
KARWA PHARMACEUTICALS (NASIK),Tocilizumab,Maharashtra,,,"CHEMIST BHAVAN, BASEMENTGOLE COLONY, NASIK 422 002GOODS AT PALSE,NASHIK,422002",,,,,
KANNU BROTHERS,Tocilizumab,Maharashtra,,,"67-69, G.M.MARKETGANDHI BAGHNAGPUR,NAGPUR,440002",,,,,
KUNDAN AGENCY(ASU),Tocilizumab,Maharashtra,,,"Shop No 6Presstige ComplexCHINCHWAD STATIONCHINCHWAD STATION,CHINCHWAD,411019",,,,,
KONKAN DISTRIBUTORS,Tocilizumab,Maharashtra,,,"668 , KONKAN VILLA , ARYADURGA NAGAB.K.G. ROAD WAGADETAL KANKAWALIDIST
SINDHUDURG,KANKAWALI,416602",,,,,
K.K.DISTRIBUTORS,Tocilizumab,Gujarat,,,"Shop.No: 2 &3 Ground floorAzad chowk,Post office road,Labh Chambers,JUNAGADH,362001",,,,,
K RAJ & CO.,Tocilizumab,Gujarat,,,"12/1148, 1ST FLOORRAZAK BAND LANE,DAR-E-ELAAF,LUHAR POLE,SHAHPORE,,SURAT,395003",,,,,
KRISHNA PHARMA DISTRIBUTORS,Tocilizumab,Gujarat,,,"SHRINATHJI CHAMBERRAMNAGAR RDKESHODKESHOD,KESHOD,362220",,,,,
KRISHNA MEDICAL STORE,Tocilizumab,Gujarat,,,"PLOT NO. B 35 GIDCGROUND FLR SECTOR 25SECTOR 25 GANDHINAGARGANDHINAGAR,GANDHINAGAR,382016",,,,,
KOTECHA ENTERPRISE,Tocilizumab,Gujarat,,,"DHANRAJ,DR. RADHAKRISHNA ROAD,RAJKOTRAJKOT,RAJKOT,360001",,,,,
VINOD SALES CORP.,Tocilizumab,Gujarat,,,"Shop no.B-114,115,1162ND FloorRiver side Business Park,Shamlaji road,MODASA,383315",,,,,
K. CHIMANLAL & CO,Tocilizumab,Gujarat,,,"G/15,NEW MADHUPURA MARKETNR, POLICE COMMISSIONER
OFFICESHAHIBAUGAHMEDABAD,AHMEDABAD,380004",,,,,
KUL ENTERPRISES(RPR),Tocilizumab,Punjab,,,"OLD PABHAT ROAD, OPP MODI KUNJ FLATSVILLAGE PABHARTZIRAKPUR,ZIRAKPUR,140603",,,,,
KUL ENTERPRISES(LDH),Tocilizumab,Punjab,,,"OLD PABHAT ROAD, OPP MODI KUNJ FLATSVILLAGE PABHARTZIRAKPUR,ZIRAKPUR,140603",,,,,
KUL ENTERPRISES (PTL),Tocilizumab,Punjab,,,"OLD PABHAT ROAD, OPP MODI KUNJ FLATSVILLAGE PABHARTZIRAKPUR,ZIRAKPUR,140603",,,,,
KUMAR MEDICOSE,Tocilizumab,Chhattisgarh,,,"SHOP.NO.1- OLD MEDICAL COMPLEX,G.E.ROAD,RAIPUR,RAIPUR,492001",,,,,
KESAR VACCINE DISTRIBUTORS,Tocilizumab,Bihar,,,"BABU TOLA LANEGOVIND MITRA RDPATNA,PATNA,800004",,,,,
KUMAR MEDICAL,Tocilizumab,Jharkhand,,,"KUMAR MEDICALSHOP NO 10 JHEEL TOWERNAWABGUNJP O AZARIBAGH P S SADAR,HAZARIBAGH,825301",,,,,
KEERTHY PHARMA,Tocilizumab,Tamil Nadu,,,"No.222, 1st Floor, 2nd Floor, 3rd FloorNaicker New Street,MADURAI,625001",,,,,
KOMMISETTY MEDICAL AGENCIES,Tocilizumab,Andhra Pradesh,,,"27-9-55/1 ,1ST FLOORPULAVARTHY STREETKAKINADA,KAKINADA,533001",,,,,
KRANTHI MEDICAL AGENCIES,Tocilizumab,Andhra Pradesh,,,"OLD GOVT HOSPITAL ROAD,BEHIND AMBETHKAR STATUEONGOLE,ONGOLE,523001",,,,,
KURIALACHERIL PHARMACEUTICALS,Tocilizumab,Kerala,,,"XXVI/364NEAR TMM HOSPITALTHIRUVALLA (PATHANAMTHITTA)0469 260720,THIRUVALLA,689101",,,,,
KISHORE PHARMA DISTRIBUTORS PVT.LTD,Tocilizumab,Maharashtra,,,"SHOP NO.- 3, WING CSN-181, 1ST FLOOPRIYADARSHANI CO-OP HOUSING SOC.MUKUND NAGAR, SION-BANDRA
LINK ROAD,DHARAVI, MUMBAI,DHARAVI,400017",,,,,
K. K. PHARMA,Tocilizumab,Maharashtra,,,"SHOP NO 4 STORAGE NO 3,4BUSINESS POINT,PALIRAM RDANDHERI WESTMUMBAI,ANDHERI WEST,400058",,,,,
LAXMI ENTERPRISES,Tocilizumab,Maharashtra,,,"F24 TO F27,ZOJWALA SHOPPING CENTRE,NEXT TO LOHANA MAHAJAN WADI,AGRA ROAD, KALYAN (WEST)KDMC
LBT TIN C 12000537,KALYAN,421301",,,,,
LAXMI MEDICAL AGENCY,Tocilizumab,Chhattisgarh,,,"42-44, MEDICAL COMPLEXG.E. RDRAIPUR,RAIPUR,492001",,,,,
LALANI PHARMA CHW,Tocilizumab,Madhya Pradesh,,,"WARD NO. 30,NEAR RELIANCE Bldg.BEHIND CHITRAKOOT COMPLEXPATLE NAGAR,
CHHINDWARA,CHHINDWARA,480001",,,,,
LAXMI MEDICAL STORES,Tocilizumab,Gujarat,,,"OPP. S.T. BUS STATIONDEESADEESA,DEESA,383535",,,,,
LIFE LINE MEDICAL AGENCY,Tocilizumab,Dadra & Nagar Haveli & Daman & Diu,,,"4, CITY CENTEROPP. UNION BANK OF INDIASILVASSA,SILVASSA,396230",,,,,
LUCKY PHARMACEUTICALS PVT. LTD.,Tocilizumab,Delhi,,,"BASEMENT PLOT NO - F 26/3,OKHLA PHASE - IINEW DELHINEW DELHI,DELHI,110020",,,,,
LOVELY MEDICAL AGENCY,Tocilizumab,Haryana,,,"CENTRAL BANK STREET,G.T.ROAD, FATEHABAD,FATEHABAD,125050",,,,,
L.P. DISTRIBUTORS Pvt. Ltd.,Tocilizumab,Uttar Pradesh,,,"222/2 MAHRAULI, MANDUADIHVARANASI,VARANASI,221006",,,,,
MAHESH PHARMACY,Tocilizumab,Maharashtra,,,"Shop No 1 Ground Floor,Ghrushneshwar Housing Society,Property Number G0003385, 4 8 38
47Gulmandi,AURANGABAD,431001",,,,,
MANISH AGENCIES,Tocilizumab,Maharashtra,,,"Ratan, Shop No :- 1CST No 5451 Dalalwadi Main Road,Malmatta NO D0008084Ground Floor 1st Floor 2nd
Flr,Aurangabad,431001",,,,,
MANOHAR AGENCIES,Tocilizumab,Maharashtra,,,"1&2 SHIVSADAN CSH,PLOT NO. 20 C, SECTOR 15,VASHINEW MUMBAI,VASHI,400703",,,,,
MAHARASHTRA SAFE CHEMISTS & DISTRIB,Tocilizumab,Maharashtra,,,"306, HANUMAN INDUSTRIAL ESTATE,KATRAK Rd JUNCTION,NEAR RAM MANDIR,
WADALA,MUMBAI,WADALA,400031",,,,,
MEDICAL AND GENERAL TRADERS(JABALPU,Tocilizumab,Madhya Pradesh,,,"SHREEDHAR , 3 MEDICINE COMPLEXMODEL ROAD, NAPIER TOWNJABALPURJABALPUR (M.P.),JABALPUR,482002",,,,,
MELARAM & BROTHERS,Tocilizumab,Chhattisgarh,,,"BUS STAND ROADBILASPUR,BUS STAND ROAD BILASPUR,495001",,,,,
MAHAKAL PHARMA NEEMUCH,Tocilizumab,Madhya Pradesh,,,"BUNGLOW NO. 49NEEMUCHNEEMUCHNEEMUCH (M.P.),NEEMUCH,458441",,,,,
MANMAD MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"OPP INDIRA COLONY , FCI ROADMANMADTAL NANDGAONDIST NASIK,MANMAD,423104",,,,,
SHREE MANJUSHREE PHARMA(CHQ),Tocilizumab,Maharashtra,,,"PANDE CHOWK , 1ST FLOORC/O DIVYA RATNA BUILDINGBARSHI 413401BARSHI,BARSHI,413401",,,,,
MAGDUM AND COMPANY (CHQ),Tocilizumab,Maharashtra,,,"LAD COMPLEX770/E/WARD5TH LANE SHAHUPURIKOLHAPUR,KOLHAPUR,416419",,,,,
M/S N B VORA & SONS,Tocilizumab,Maharashtra,,,"3/4 GROUND FLOORSHRAWGI PLOTDAWA BAZAR AKOLAAKOLA,AKOLA,444001",,,,,
METRO MEDICAL AGENCIES,Tocilizumab,Maharashtra,,,"S. NO.62,63,64,65, 1 ST FLOORSANDESH DAWA BAZAR,NEAR HAJ HOUSEGANJIPETH, NAGPUR,NAGPUR,440018",,,,,
MUKUNDRAI AGENCIES,Tocilizumab,Maharashtra,,,"SHOP NO. 5,6,33,34,105,106SANDESH DAWA BAZAR,GANJIPETHNAGPUR,NAGPUR,440018",,,,,
MAHADEV AGENCIES (NASIK),Tocilizumab,Maharashtra,,,"1/2 1ST FLOOR, GOLE COMPLEXGOLE COLONY,DAVA BAZARNASIK,NASHIK,422002",,,,,
MAHAVIR MEDICAL AGENCY,Tocilizumab,Gujarat,,,"DOULATGUNJ BAZARDAHOD,DAHOD,389151",,,,,
MAHARAJA AGENCIES,Tocilizumab,Gujarat,,,"18,BAHUBALI COMPLEXB/H PILL GARDEN,BHAVNAGARTELE-0278-26017F-24,BHAVNAGAR,364001",,,,,
MEXON PHARMA DISTRIBUTORS,Tocilizumab,Gujarat,,,"F/10,GALAXY SHOPPING CENTREOPP. GOVT HOSPITAL DHORAJITELE-222369,226386F 25,Dhoraji,360410",,,,,
MEXON PHARMA (MORBI),Tocilizumab,Gujarat,,,"AYODHYAPURI MAIN ROAD,NR. DR. RUPALA,SAVSAR PLOT,MORBI 363 641,MORBI,363641",,,,,
M. K. MEDICAL AGENCY,Tocilizumab,Gujarat,,,"G/61, YOGI COMPLEX, 1ST FLOOR,MAHINDRA MILL ROAD, KALOLTA - KALOL,KALOL,KALOL,382761",,,,,
JASMINE CORPORATION,Tocilizumab,Gujarat,,,"JASMINE CORPORATION10,SAMARTH RAMAJI DHARMASHALA1 ST FLOOR, STATION
ROAD,HIMATNAGAR,HIMATNAGAR,383001",,,,,
ANAND DISTRIBUTORS,Tocilizumab,Rajasthan,,,"69,MADHUBAN ,OPP. GENERAL HOSPITALUDAIPUR,UDAIPUR,313001",,,,,
KOOLWAL DISTRIBUTORS,Tocilizumab,Rajasthan,,,"COMPANY BAGH ROADNEAR GENERAL HOSPITALALWAR,ALWAR,301001",,,,,
"SHYAM MEDICAL AGENCIES,",Tocilizumab,Rajasthan,,,"SHARAN MARKETKOTPURLIOPP BUS STAND,KOTPUTLI,303108",,,,,
LAXMI PHARMA,Tocilizumab,Rajasthan,,,"MEDICINE MARKET,OPP. M.G.HOSPITALJODHPUR,JODHPUR,342001",,,,,
MODI DISTRIBUTORS,Tocilizumab,Rajasthan,,,"20,PARHSAWANATH DAWA BAZAR,HAZARESHWAR COLONY,UDAIPUR,UDAIPUR,313001",,,,,
KOTHARI PHARMA,Tocilizumab,Rajasthan,,,"1ST FLOOR, NEAR JYOTI HOTELSEWA SADAN ROAD,BHILWARA,BHILWARA,311001",,,,,
VINAYAK ENTERPRISES,Tocilizumab,Rajasthan,,,"1st FLOOR , PARVATI HEIGHTSSITARAM JI KI BAWRI KE PAASDOODH KI DAIRY KE SAMNE WALI
ROAD,BHILWARA,311001",,,,,
"NAINANI MEDICO,",Tocilizumab,Rajasthan,,,"RAMPURA,KOTA,KOTA,324006",,,,,
CHOUDHARY MEDICAL HALL,Tocilizumab,Rajasthan,,,"7, FILM COLONY,CHAURA RASTA,JAIPUR,JAIPUR,302003",,,,,
INDIAN DRUG DISTRIBUTORS,Tocilizumab,Rajasthan,,,"128-129, SHRINATH PLAZAHOSPITAL RDUDAIPUR,UDAIPUR,313001",,,,,
MITTAL PHARMA,Tocilizumab,Rajasthan,,,"VYAPAR UDYOG MANDAL COMPLEX6, MODERN MARKETBIKANER,BIKANER,334001",,,,,
DHRUVI PHARMA PVT LTD.,Tocilizumab,Rajasthan,,,"B-12 GROUND FLOOR & FIRST FLOORSUDERSHANPURA INDUSTRIAL AREA,22 GODAM, JAIPUR,JAIPUR,302006",,,,,
ANSHUL MEDICAL AGENCIES,Tocilizumab,Rajasthan,,,"GANGWAL MARKETSTATION ROADSIKAR,SIKAR,332001",,,,,
ARADHANA AGENCIES,Tocilizumab,Rajasthan,,,"5-6, LAXMI MARKETCINEMA ROADAJMER,AJMER,305001",,,,,
PHARMA SALES,Tocilizumab,Rajasthan,,,"1ST FLOOR, RAMBOLA MATHOLD BUS STANDDUNGARPUR,DUNGARPUR,314001",,,,,
JITESH PHARMA DISTRIBUTORS,Tocilizumab,Rajasthan,,,"4, PARSHWANATH DAWA BAZARHAZARESHWAR COLONY,UDAIPUR,UDAIPUR,313001",,,,,
SHREE BALAJI MEDICAL AGENCY (C),Tocilizumab,Rajasthan,,,"MITTAL BHAWAN, WARD NO. 20NAI SARAKCHURU,CHURU,331001",,,,,
RAJENDRA GENERAL STORE,Tocilizumab,Rajasthan,,,"60-61, SADUL COLONYBIKANER,BIKANER,334001",,,,,
MAN SINGH BHAGWAN SINGH,Tocilizumab,Punjab,,,"PINDI STREETLUDHIANA,LUDHIANA,141008",,,,,
MAHAJAN MEDICINE CO,Tocilizumab,Punjab,,,"1ST FLOOR , SURI MARKETMISSION ROADPATHANKOTPUNJAB,PATHANKOT,145001",,,,,
MEDICO MEDICINE,Tocilizumab,Punjab,,,"2-D, DILKUSHA MARKETJALANDHAR (PB),JALANDHAR,144001",,,,,
MEGHA MEDICOSE,Tocilizumab,Haryana,,,"BEHIND MAKKAR HOSPITALNARNAUL (HARYANA),NARNAUL,123001",,,,,
M.P. DRUGS (CE),Tocilizumab,Uttar Pradesh,,,"PHAPHALA STREET..ALIGARH,ALIGARH,202001",,,,,
MEDIWAYS VACCINE COMPANY (LOC),Tocilizumab,Uttar Pradesh,,,"41, 41A,GROUND & FIRST FLRRAMANUJ DAYAL NAI BASTIOPP MMG HOSPITALGHAZIABAD,GHAZIABAD,201001",,,,,
MOHAK MEDICOS (CE),Tocilizumab,Uttar Pradesh,,,"NEW MARKET,STATION ROAD,MORADABADMORADABAD,MORADABAD,244001",,,,,
MEDICINE HOUSE ALD,Tocilizumab,Uttar Pradesh,,,"97, LEADER ROADALLAHABAD,ALLAHABAD,211003",,,,,
MAHESH MEDICAL AGENCIES(JHANSI),Tocilizumab,Uttar Pradesh,,,"SHOP NO:-G:18 TO 20 & F:18 TO 20CHELARAM COMPOUNDRAM RAJA DAVA BAZAR PVT LTDCIVIL LINES
JHANSI,JHANSI,284002",,,,,
MUKUL TRADERS,Tocilizumab,Bihar,,,"TODERMAL LANEBHAGALPURBHAGALPURBIHAR,BHAGALPUR,812002",,,,,
MAHABIR PHARMACY,Tocilizumab,Manipur,,,"ASSEMBLY ROADTHANGAL BAZARIMPHALMANIPUR,IMPHAL,795001",,,,,
MODERN PHARMA COMPANY,Tocilizumab,Assam,,,"DANISH ROADPANBAZARGUWAHATIASSAM,GUWAHATI,781001",,,,,
MANOJ PHARMACEUTICALS,Tocilizumab,Kerala,,,"60/4446B, 60/4446C, 60/4446DKRISHNAMANOJ ARCADEZ.C.NORTHCHINDAVALAPPU,CALICUT,673002",,,,,
MAYUR AGENCIES,Tocilizumab,Karnataka,,,"NO.717, RENUKACHARYA TEMPLE STREET100 FEET ROAD CROSS,NEAR LAKSHMI
THEATRE,K.R.MOHALLAMYSORE 570 024,MYSORE,570024",,,,,
"MARUTI & CO.,",Tocilizumab,Karnataka,,,"MARUTHI SURANA MANGLAM,NO 69/701,2 & 3 FLOOR WHEELER ROAD COX
TOWNBANGALORE,BANGALORE,560005",,,,,
MAHALAKSHMI DISTRIBUTORS,Tocilizumab,Karnataka,,,"NO.132, II FLOOR, ITGAMPALLI COMPLEOPP.S.B.H BANK, SUPER MARKET,GULBARGA.,GULBARGA,585101",,,,,
MANDAR DISTRIBUTORS,Tocilizumab,Maharashtra,,,"16,VISANJI NAGAR,JALGAON 425001,JALGAON,425001",,,,,
MAHAVIR AGENCIES,Tocilizumab,Maharashtra,,,"MEGHRAJ,SAHAOYOG NAGAR,D.P.ROAD,OPP. SARADA NAGARI BEEDBEED,BEED,431122",,,,,
MEHER DISTRIBUTORS PVT.LTD. (BYCULL,Tocilizumab,Maharashtra,,,"MUSTAFA BAZAR124 VICTORIA ROADBYCULLA ( EAST ),Mumbai,400010",,,,,
MEHER DISTRIBUTORS PVT LTD ( MW-NH,Tocilizumab,Maharashtra,,,"(MUMBAI WESTERN), MAPCHEM127 / VICTORIA ROAD,MUSTAFA BAZAR, BYCULLA ( EAST
)MUMBAI,BYCULLA,400010",,,,,
MEHER DISTRIBUTORS PVT.LTD. MS CH,Tocilizumab,Maharashtra,,,"127 / VICTORIA ROAD,MUSTAFA BAZAR, BYCULLA ( EAST )MUMBAI,BYCULLA,400010",,,,,
MEHER DISTRIBUTORS PVT LTD ( MW-NH,Tocilizumab,Maharashtra,,,"(MUMBAI WESTERN), RAM MEDICAL127 / VICTORIA ROAD,MUSTAFA BAZAR, BYCULLA ( EAST
)MUMBAI,BYCULLA,400010",,,,,
MEHER DISTRIBUTORS PVT.LTD. ( TC-NH,Tocilizumab,Maharashtra,,,"( THANE CENTRAL ), SATISH PHARMA127 / VICTORIA ROAD,MUSTAFA BAZAR, BYCULLA ( EAST
)MUMBAI,BYCULLA,400010",,,,,
MEDPRO AGENCIES (MADURAI),Tocilizumab,Tamil Nadu,,,"NO : 8 , HARVEY NAGAR,TECHNICAL SCHOOL WEST12 TH STREET, MADURAI,MADURAI,625016",,,,,
MEDPRO AGENCIES PVT LTD,Tocilizumab,Tamil Nadu,,,"NO.37-A2,G1,GROUND FLOORASHTHALAKSHMI NAGAR,2ND STREETALAPAKKAMCHENNAI,CHENNAI,600116",,,,,
NIRMAL AGENCIES,Tocilizumab,Maharashtra,,,"BEHIND MUNICIPAL HIGH SCHOOL,JAMNER ROAD,BHUSAWAL - 425 201X,BHUSAWAL,425201",,,,,
NARESH MEDICALS (BHOPAL),Tocilizumab,Madhya Pradesh,,,"MEDICINE STREET,GHORA NIKKASBHOPALBHOPAL (M.P.),BHOPAL,462001",,,,,
NEW MANISH MEDICAL STORES (GWALIOR),Tocilizumab,Madhya Pradesh,,,"PHARMACEUTICAL DISTRIBUTORSDAWA BAZAR, HUZRAT ROAD,LASHKAR,GWALIOR,474001",,,,,
NISHANT SALES & SERVICES (PCP),Tocilizumab,Maharashtra,,,"1ST&2ND FLOOR, GOYANKA BUILDING,NASUL SHEET NO 64 HOUSE NO.652 1PLOT. NO. 115, RATANLAL PLOT,
AKOLA,AKOLA,444005",,,,,
